Pavarde Vardas  ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egzaminas
Mikalauskas Kajus 7 4 2 5 2 4 2 4 5 4 5
Grigaitis Titas 8 6 1 1 8 4 6 5 5 6 10
ukauskas Paulius 5 6 7 8 5 6 3 9 5 6 1
Stankevi?ius Laurynas 8 1 7 10 5 8 7 9 3 10 2
Valantinas Dovydas 5 7 6 7 2 10 9 8 8 7 9
Kazlauskas Adomas 4 3 7 8 9 7 4 1 3 5 10
Maeika Kajus 6 7 2 6 3 2 10 5 10 4 2
Paulauskas Martynas 9 7 10 3 8 10 7 10 2 1 6
Jankauskas Vilius 6 7 6 8 6 5 9 7 9 9 8
Jankauskas Kajus 2 3 5 10 1 9 10 7 2 1 1
Pocius Rokas 1 10 7 1 10 5 9 1 10 10 10
Grigaitis Tomas 2 1 8 5 10 8 3 2 9 9 10
Kavaliauskas Martynas 5 5 7 5 7 10 2 5 6 1 10
Stankevi?ius Deividas 2 6 1 9 10 8 10 6 2 5 5
Bacevi?ius Tomas 7 1 2 8 3 5 9 4 3 1 1
Petrauskas Adomas 9 1 9 3 5 2 8 7 7 7 3
Paulauskas Jonas 1 2 10 7 4 1 3 1 1 3 2
Valantinas Kajus 2 7 1 8 2 6 1 4 10 1 8
Bacevi?ius Rokas 7 2 2 3 10 9 1 3 4 8 2
Mikalauskas Jonas 4 5 3 1 6 6 2 7 2 8 5
Valantinas Adomas 7 2 7 1 9 2 9 2 10 7 1
Sadauskas Mantas 4 5 4 5 6 6 3 3 6 7 7
Valantinas Jonas 6 3 8 6 4 7 4 2 7 3 6
Pocius Kajus 9 2 8 1 7 5 10 5 6 3 3
?epas Titas 2 8 1 6 10 10 9 6 9 10 2
Grigaitis Deividas 10 7 3 2 2 3 7 6 5 10 4
?epas Vilius 5 9 2 5 5 5 10 10 9 4 9
Stankevi?ius Martynas 5 2 3 4 5 10 3 2 1 9 10
Bacevi?ius Ignas 1 8 1 1 3 3 6 2 1 4 4
Valantinas Kajus 2 7 8 10 5 1 2 6 1 6 5
Giedraitis Jonas 6 4 7 7 1 8 1 8 7 8 4
?epas Adomas 8 7 8 8 4 6 2 8 8 7 1
Mikalauskas Martynas 7 5 7 2 3 5 5 6 8 9 8
Maeika Titas 8 3 4 10 8 1 4 7 2 10 4
Bacevi?ius Dovydas 3 2 1 7 6 9 10 5 10 6 1
Vasiliauskas Vilius 1 7 8 8 10 7 9 3 9 5 5
Giedraitis Arnas 10 4 7 2 10 8 10 7 9 3 3
?epas Ignas 5 8 3 5 3 10 2 7 6 4 9
Maeika Mantas 6 6 6 5 2 6 10 3 6 4 1
Bacevi?ius Titas 6 1 3 3 8 10 10 4 5 6 2
ukauskas Kajus 9 6 7 4 7 4 3 4 7 7 3
Jankauskas Dovydas 2 1 5 5 6 9 10 2 4 10 5
Noreika Ignas 3 3 7 8 4 5 3 6 1 9 7
Bacevi?ius Arnas 8 6 9 6 5 2 8 8 2 6 1
ukauskas Laurynas 5 4 4 1 9 1 8 4 10 8 4
Maeika Paulius 6 1 6 6 10 8 5 2 6 7 9
Giedraitis Titas 9 1 8 4 3 8 5 9 7 10 9
Sadauskas Kajus 8 10 6 10 5 9 8 1 7 10 7
ukauskas Paulius 4 10 1 5 1 6 7 7 6 6 4
Petrauskas Tomas 1 9 6 8 8 8 10 8 7 2 9
Bacevi?ius Tomas 7 5 1 5 4 8 4 9 10 10 5
?epas Ignas 4 9 4 2 5 9 1 1 2 6 3
Stankevi?ius Tomas 10 5 9 8 4 3 9 3 1 3 1
Petrauskas Deividas 7 9 9 6 6 9 6 10 10 9 6
?epas Adomas 10 6 1 8 5 10 10 2 9 8 8
Grigaitis Tomas 2 10 10 10 2 4 3 1 9 5 4
?epas Andrius 10 9 6 5 8 9 7 6 2 1 7
Valantinas Tomas 5 3 4 1 5 5 8 7 1 1 5
Vasiliauskas Andrius 1 8 7 2 9 9 2 6 4 5 6
Petrauskas Rokas 2 1 3 5 8 7 5 3 3 6 5
Pocius Arnas 8 2 6 6 10 4 9 9 4 2 6
Giedraitis Kajus 3 10 8 8 2 8 5 1 1 6 5
Noreika Ignas 3 3 9 5 7 6 4 8 7 6 4
Kavaliauskas Benas 3 9 6 6 9 9 10 5 2 3 7
?epas Arnas 6 7 4 1 8 1 7 3 10 10 4
Vasiliauskas Dominykas 8 7 10 9 6 7 9 8 8 10 6
Jankauskas Arnas 7 1 10 6 4 2 10 3 5 2 8
ukauskas Nojus 9 1 9 6 5 3 2 6 2 10 8
Paulauskas Laurynas 3 6 6 1 9 3 3 9 8 9 2
Paulauskas Paulius 1 6 3 4 10 10 5 4 7 3 1
Paulauskas Andrius 3 2 5 3 5 10 2 8 5 4 4
Mikalauskas Rokas 1 9 6 7 8 3 5 3 9 3 4
Sadauskas Vilius 2 9 3 9 8 10 2 4 2 10 4
?epas Deividas 7 6 3 4 1 1 10 6 10 6 2
Sadauskas Rokas 8 9 10 8 8 9 5 7 10 2 10
ukauskas Kajus 8 4 9 10 3 7 4 9 2 5 8
Šimkus Dominykas 3 6 2 9 5 5 10 2 2 3 3
Stankevi?ius Dovydas 5 6 7 6 5 10 8 2 1 9 1
Bacevi?ius Vilius 8 2 1 1 10 7 6 3 9 5 9
Kazlauskas Jonas 6 8 3 4 2 10 5 7 1 5 4
Stankevi?ius Paulius 7 9 6 1 7 8 9 2 1 10 1
Šimkus Dominykas 1 5 2 7 8 4 7 4 8 6 6
Sadauskas Nojus 8 7 3 5 2 9 2 9 10 6 9
Pocius Jonas 6 5 2 1 7 1 1 4 7 3 4
Grigaitis Dominykas 3 9 1 3 7 3 8 10 5 7 4
Grigaitis Dovydas 3 5 7 6 5 1 6 7 7 10 1
Giedraitis Ignas 1 7 3 9 3 4 2 9 9 3 6
Kazlauskas Ignas 6 2 3 10 1 4 6 4 4 9 1
Petrauskas Tomas 10 3 8 2 1 8 2 7 1 9 6
Noreika Nojus 6 6 2 3 9 6 8 8 6 9 2
Bacevi?ius Vilius 4 8 4 3 3 2 9 3 9 10 4
Maeika Lukas 10 9 10 2 5 4 10 8 7 1 2
Bacevi?ius Arnas 2 3 9 3 4 7 10 9 4 1 7
Vasiliauskas Martynas 7 4 7 4 10 9 3 5 2 7 4
Grigaitis Mantas 10 4 2 9 3 3 4 9 5 1 3
Vasiliauskas Arnas 5 6 7 7 2 4 3 6 8 3 9
Kairys Andrius 4 4 2 8 2 10 7 3 6 1 3
Giedraitis Arnas 4 9 7 3 5 10 10 9 4 9 5
Sadauskas Tomas 8 5 3 9 2 4 9 3 9 4 4
Vasiliauskas Adomas 10 7 9 1 2 6 4 6 5 4 10
?epas Deividas 3 7 7 8 8 4 7 8 10 3 8
Kazlauskas Andrius 6 8 2 7 7 4 3 3 1 3 1
Mikalauskas Nojus 2 5 1 2 4 8 10 8 2 9 9
Grigaitis Lukas 3 2 7 10 8 3 8 6 1 8 3
Paulauskas Andrius 1 6 10 10 8 7 5 4 7 3 10
Noreika Adomas 2 9 7 4 5 8 5 10 8 7 5
Kairys Titas 2 9 1 6 5 6 4 8 5 9 8
Šimkus Titas 5 10 3 6 7 2 2 10 4 10 6
Noreika Kajus 8 5 4 9 7 3 3 9 6 9 5
?epas Titas 3 4 1 9 2 10 4 3 6 4 5
Kazlauskas Martynas 4 3 9 3 10 8 5 1 10 2 10
Pocius Vilius 8 5 7 4 4 5 1 6 9 9 5
Stankevi?ius Deividas 3 9 4 10 1 1 1 2 5 8 5
Šimkus Lukas 5 1 4 9 4 2 4 10 7 8 8
ukauskas Laurynas 4 1 7 10 8 5 3 9 7 4 4
Noreika Laurynas 4 6 4 6 10 1 8 1 2 8 1
Stankevi?ius Paulius 6 10 4 5 6 8 3 6 1 8 9
Kairys Deividas 9 5 2 9 10 3 9 8 7 6 1
Maeika Tomas 8 3 5 3 9 5 8 8 9 1 3
Valantinas Dovydas 1 10 9 8 9 7 1 10 4 10 4
Kairys Dovydas 5 8 10 1 9 5 6 2 9 8 1
Petrauskas Andrius 3 10 5 5 5 1 4 3 3 10 9
Grigaitis Andrius 3 2 6 1 10 6 4 1 7 2 4
Kavaliauskas Nojus 7 1 9 2 6 2 9 10 7 5 8
Bacevi?ius Kajus 10 9 3 2 4 5 7 1 6 7 1
Petrauskas Lukas 7 10 7 6 6 1 9 7 7 7 4
Vasiliauskas Titas 7 7 9 1 6 7 2 8 4 1 10
Pocius Tomas 9 6 10 8 5 5 4 6 10 7 8
Noreika Kajus 9 5 4 1 5 4 5 9 2 7 5
ukauskas Laurynas 7 4 6 1 1 2 1 9 7 7 10
Petrauskas Kajus 4 9 6 2 2 3 8 10 2 2 9
Mikalauskas Benas 8 2 6 1 8 1 8 1 2 7 2
Jankauskas Ignas 8 5 4 3 7 7 3 7 8 4 2
Sadauskas Vilius 6 7 6 5 5 1 8 2 8 4 9
?epas Kajus 6 9 3 2 1 10 4 8 10 5 1
?epas Benas 10 3 6 2 5 2 3 9 3 3 6
Bacevi?ius Arnas 10 4 4 7 5 10 2 4 1 6 7
Mikalauskas Ignas 9 5 3 4 3 9 6 5 6 8 3
Paulauskas Martynas 5 7 6 10 2 10 10 8 8 6 5
Kavaliauskas Andrius 5 6 7 7 6 10 6 7 3 10 1
Kairys Titas 10 9 7 2 7 5 4 5 5 9 9
Kazlauskas Paulius 10 10 9 7 5 2 1 9 1 1 6
Pocius Deividas 1 8 3 9 7 5 1 9 2 9 9
Pocius Dominykas 5 9 1 7 10 7 9 2 5 7 9
Kavaliauskas Rokas 9 4 6 5 2 5 7 3 7 5 7
Kavaliauskas Tomas 2 4 10 7 9 6 8 5 1 2 3
Šimkus Vilius 3 2 2 4 7 9 1 8 2 6 3
Kairys Vilius 5 10 2 3 1 7 6 1 9 10 1
Giedraitis Tomas 4 5 4 8 1 10 8 5 7 5 9
Noreika Laurynas 10 2 10 9 3 9 6 7 2 8 4
Noreika Deividas 9 8 8 4 10 8 8 7 2 3 9
Petrauskas Vilius 6 4 6 4 2 9 10 2 6 10 10
Šimkus Mantas 6 4 7 9 6 4 5 5 4 1 3
Noreika Andrius 3 6 5 8 3 2 8 6 3 5 7
Paulauskas Deividas 1 10 9 8 5 10 5 6 7 6 9
Mikalauskas Andrius 5 3 9 6 2 9 5 7 3 8 4
Maeika Dovydas 8 4 10 9 9 6 7 3 6 6 1
Šimkus Benas 10 3 8 5 2 7 7 9 7 4 3
Maeika Dovydas 6 2 7 7 4 6 8 3 9 1 2
Šimkus Vilius 5 4 10 10 3 8 1 9 5 10 3
Grigaitis Martynas 8 4 8 8 9 10 10 9 1 7 5
Pocius Vilius 6 4 4 6 10 9 9 3 7 8 3
Bacevi?ius Paulius 8 10 5 9 6 6 4 2 3 7 7
Kavaliauskas Mantas 4 8 4 2 10 8 10 7 7 5 4
?epas Mantas 9 3 5 10 1 3 8 1 3 1 8
Giedraitis Ignas 4 4 2 5 10 8 4 6 10 8 1
Kazlauskas Ignas 6 5 2 9 8 8 8 1 10 2 9
Jankauskas Benas 9 4 10 10 1 4 10 10 7 10 7
Noreika Tomas 2 8 1 10 10 9 2 5 5 2 9
Grigaitis Jonas 3 10 1 3 5 9 8 2 10 1 9
Petrauskas Nojus 6 5 1 5 5 2 7 3 3 9 9
Valantinas Tomas 6 8 10 10 5 3 4 7 3 6 2
ukauskas Andrius 6 5 3 4 9 2 9 3 1 9 6
Mikalauskas Jonas 3 8 3 2 10 2 2 5 7 9 6
Kazlauskas Arnas 1 1 2 10 1 7 10 7 10 3 9
Sadauskas Rokas 7 8 4 3 3 7 10 10 10 5 3
Noreika Kajus 8 10 10 9 9 4 10 3 4 6 5
Šimkus Martynas 7 10 3 3 4 2 7 10 9 5 10
Stankevi?ius Jonas 4 10 9 10 6 2 7 10 9 5 3
Bacevi?ius Paulius 3 8 10 10 2 1 8 7 2 5 10
Noreika Martynas 6 5 6 5 3 9 7 5 4 6 5
Paulauskas Tomas 10 7 10 7 2 5 6 6 1 2 1
Šimkus Deividas 9 8 7 2 8 9 2 7 2 2 4
ukauskas Jonas 5 4 5 4 2 1 1 4 7 2 1
Petrauskas Kajus 2 8 1 10 2 7 7 1 3 10 3
Kazlauskas Ignas 2 7 8 8 6 9 5 1 5 5 1
Stankevi?ius Arnas 5 6 9 1 9 3 4 4 3 5 8
Šimkus Dominykas 6 10 8 10 10 5 7 6 4 7 6
Kairys Dovydas 6 6 8 10 1 2 4 7 5 2 2
Jankauskas Laurynas 1 10 7 3 5 2 3 9 6 2 3
Kairys Nojus 3 6 6 8 1 5 7 1 1 10 6
Noreika Laurynas 10 5 5 1 5 8 7 2 7 7 7
Kazlauskas Arnas 8 5 8 1 1 8 8 5 7 6 6
Valantinas Nojus 9 10 5 10 3 10 4 7 3 8 9
Vasiliauskas Paulius 5 3 7 7 3 10 3 1 5 3 7
Kazlauskas Deividas 3 3 8 1 10 7 5 8 10 4 9
Petrauskas Deividas 6 7 1 7 3 5 5 3 8 4 7
Maeika Andrius 7 6 3 8 3 5 5 9 10 5 5
Noreika Nojus 3 3 1 10 7 3 9 9 6 9 2
Maeika Ignas 8 3 6 4 6 2 9 5 5 5 3
Šimkus Paulius 3 8 2 8 2 1 1 6 10 9 9
Paulauskas Kajus 4 1 6 2 3 9 3 7 8 9 3
ukauskas Benas 2 5 4 4 10 4 2 6 10 7 8
Noreika Andrius 9 1 4 1 1 2 10 8 7 4 4
Mikalauskas Andrius 10 2 5 6 4 9 2 2 3 8 1
Maeika Vilius 10 5 9 10 10 4 10 7 6 6 10
Giedraitis Lukas 3 2 10 2 10 4 5 9 6 5 4
Petrauskas Mantas 4 8 7 8 3 9 2 1 5 7 9
ukauskas Andrius 2 3 2 2 6 3 2 9 5 3 10
Maeika Lukas 7 9 5 5 10 3 4 3 10 10 4
Petrauskas Dovydas 9 10 4 1 4 5 6 4 1 6 3
?epas Mantas 2 5 5 3 5 7 5 9 3 5 3
Stankevi?ius Adomas 4 3 1 8 7 7 3 5 1 1 3
Petrauskas Arnas 10 5 1 2 9 5 7 3 8 9 5
Kairys Martynas 2 4 4 9 6 8 4 2 6 7 5
Noreika Benas 9 4 9 7 1 6 3 4 7 10 4
ukauskas Deividas 7 1 2 9 3 2 3 6 9 9 2
Kairys Deividas 4 5 5 5 2 5 1 1 6 8 1
Paulauskas Laurynas 9 1 3 10 9 10 3 5 2 7 8
Stankevi?ius Laurynas 5 9 4 10 8 6 4 2 6 1 3
Kazlauskas Titas 1 3 8 3 8 8 5 3 8 7 2
Giedraitis Mantas 4 2 5 5 1 10 2 1 8 7 4
Maeika Dominykas 2 6 9 2 1 5 9 8 9 3 7
ukauskas Dovydas 5 7 10 5 1 9 10 8 2 6 6
ukauskas Nojus 7 1 8 9 9 10 7 7 5 4 8
Petrauskas Kajus 2 8 9 3 4 4 9 6 6 2 10
Petrauskas Arnas 8 6 8 9 4 9 9 6 5 1 4
?epas Nojus 5 5 4 1 7 7 4 6 1 9 6
Pocius Laurynas 3 2 2 4 10 8 9 1 3 8 6
ukauskas Titas 4 10 5 10 4 9 8 5 8 1 7
Sadauskas Laurynas 1 2 9 7 1 2 6 3 8 2 4
Mikalauskas Vilius 10 3 7 9 2 8 10 9 7 6 1
Jankauskas Titas 8 4 5 1 10 3 4 4 7 7 4
ukauskas Paulius 4 3 1 5 8 4 3 2 5 7 3
Petrauskas Deividas 9 7 10 5 4 1 6 2 6 4 1
Stankevi?ius Ignas 3 3 1 4 1 3 8 8 5 9 2
ukauskas Titas 8 4 5 10 3 9 7 1 9 4 10
Stankevi?ius Paulius 7 5 10 10 6 2 1 3 10 7 4
Mikalauskas Jonas 6 10 3 2 5 1 8 3 8 3 1
Kavaliauskas Tomas 5 4 3 8 5 10 9 5 10 4 5
Valantinas Lukas 3 4 4 1 10 8 3 2 3 8 3
Kavaliauskas Andrius 4 2 7 2 4 7 3 9 3 10 2
Stankevi?ius Benas 7 10 10 10 4 7 2 1 9 9 4
Jankauskas Rokas 5 7 3 2 1 9 9 2 5 1 5
Giedraitis Benas 2 7 6 7 5 10 5 5 2 6 5
Giedraitis Dovydas 8 8 10 3 9 10 1 4 3 5 6
Maeika Vilius 4 8 1 6 8 10 4 7 7 3 6
Šimkus Deividas 10 5 6 7 4 1 4 7 4 6 9
Šimkus Adomas 9 5 9 1 3 3 5 4 2 1 1
Valantinas Dovydas 3 4 9 7 3 3 9 8 10 1 9
ukauskas Andrius 7 2 4 7 9 3 1 9 5 2 10
Pocius Titas 5 4 9 7 6 8 2 8 2 1 1
Valantinas Nojus 5 5 8 7 2 2 2 9 1 6 6
Vasiliauskas Kajus 6 6 3 8 9 3 2 5 10 6 8
Vasiliauskas Dovydas 7 1 6 5 7 9 7 1 8 6 6
Šimkus Tomas 7 1 8 8 6 1 5 7 6 3 2
Sadauskas Paulius 3 9 1 4 8 9 2 6 7 1 2
Kairys Adomas 5 5 3 8 4 8 2 5 10 5 1
Maeika Mantas 1 9 10 10 5 2 9 1 4 9 4
Kazlauskas Martynas 8 8 4 6 7 10 1 2 4 4 7
Bacevi?ius Martynas 1 10 5 6 5 10 6 6 10 2 1
ukauskas Benas 5 7 9 2 10 5 5 3 9 9 5
Bacevi?ius Martynas 7 6 5 8 4 6 9 7 1 9 5
Petrauskas Lukas 5 7 2 3 10 1 9 9 3 6 2
Bacevi?ius Kajus 9 10 6 3 10 4 9 3 1 7 9
Paulauskas Laurynas 6 6 7 7 3 9 5 3 6 5 1
Stankevi?ius Benas 10 2 2 5 9 8 4 8 9 2 4
Kavaliauskas Benas 7 2 10 3 9 2 2 3 7 7 4
Stankevi?ius Adomas 1 8 7 4 9 9 7 8 6 10 10
ukauskas Deividas 1 2 7 8 8 3 3 10 10 4 5
Maeika Kajus 6 3 1 6 7 1 9 1 2 10 9
Sadauskas Dovydas 9 7 6 4 6 4 6 7 6 1 7
Kavaliauskas Titas 3 1 2 7 9 6 4 2 2 6 2
Grigaitis Rokas 10 2 9 4 9 4 8 8 7 1 4
ukauskas Deividas 1 8 8 3 2 5 5 8 7 2 2
ukauskas Arnas 7 1 8 4 1 1 5 4 9 9 3
Valantinas Jonas 8 7 8 1 1 9 1 10 4 1 2
Jankauskas Lukas 8 3 4 2 1 1 2 8 9 9 10
Kazlauskas Dominykas 1 10 8 5 4 4 5 10 3 6 5
Bacevi?ius Dominykas 7 9 2 8 8 10 8 9 3 4 7
Šimkus Paulius 4 7 2 9 10 7 3 6 1 3 6
Paulauskas Rokas 6 4 3 4 5 7 1 10 8 7 1
Vasiliauskas Lukas 8 6 2 8 3 10 3 7 4 5 8
Sadauskas Laurynas 1 3 8 9 2 8 6 7 8 10 2
Valantinas Adomas 1 5 5 4 8 6 6 10 2 2 4
Kavaliauskas Dovydas 9 6 5 5 6 8 9 10 6 7 7
Šimkus Andrius 2 2 5 2 5 8 10 9 3 2 5
Maeika Dovydas 10 7 9 6 6 10 4 4 7 9 9
Šimkus Paulius 5 7 9 9 8 3 8 7 6 2 10
?epas Tomas 5 7 9 3 1 5 9 8 3 10 10
Mikalauskas Ignas 10 3 1 7 4 2 6 5 3 9 8
Grigaitis Mantas 3 7 5 10 1 6 2 6 2 9 5
Bacevi?ius Dovydas 1 1 10 3 10 7 5 6 9 4 1
Bacevi?ius Titas 1 5 5 3 5 4 2 8 10 4 2
Kavaliauskas Deividas 5 3 2 3 1 6 7 8 6 3 1
Grigaitis Tomas 1 6 6 7 3 4 4 6 1 4 10
Grigaitis Arnas 2 6 10 5 1 4 1 9 4 2 9
Stankevi?ius Lukas 9 9 7 9 1 2 6 6 10 3 5
Kazlauskas Arnas 8 8 4 9 5 4 1 9 8 8 9
Kavaliauskas Ignas 2 10 7 9 9 4 2 8 8 1 2
Jankauskas Jonas 8 3 1 2 6 2 10 10 7 8 3
Grigaitis Laurynas 3 8 7 8 6 10 8 10 2 5 3
Stankevi?ius Adomas 5 4 8 8 4 2 1 9 4 2 9
Stankevi?ius Martynas 3 4 6 5 10 3 9 2 6 4 6
Giedraitis Rokas 7 4 1 9 3 7 5 5 7 9 8
Kazlauskas Benas 9 4 10 2 9 5 7 5 10 2 3
Jankauskas Andrius 4 3 10 1 10 6 2 9 9 9 5
Kairys Mantas 1 9 10 10 4 7 1 8 2 5 4
Valantinas Arnas 7 8 3 8 2 6 6 4 8 8 2
Noreika Adomas 6 8 1 9 2 10 8 10 8 10 6
Kairys Mantas 2 10 8 2 3 10 2 3 3 10 2
Bacevi?ius Rokas 5 9 6 8 4 3 5 4 3 7 4
Kazlauskas Paulius 3 7 3 2 4 3 2 7 7 8 1
Pocius Kajus 9 8 4 5 1 5 8 6 8 10 10
Vasiliauskas Ignas 5 1 5 3 7 8 1 1 4 9 4
Kairys Ignas 5 10 5 8 7 10 9 10 5 2 5
Paulauskas Paulius 10 5 1 4 1 7 7 7 5 1 6
Grigaitis Mantas 9 3 7 8 6 4 8 8 4 6 7
Pocius Andrius 9 7 5 6 3 1 6 8 2 4 5
Šimkus Arnas 6 2 5 6 5 6 1 7 8 6 4
Petrauskas Benas 10 7 1 9 9 9 2 5 5 4 3
Stankevi?ius Deividas 9 6 3 4 4 5 2 6 10 7 7
Pocius Lukas 3 6 1 4 10 8 10 2 9 1 10
Grigaitis Lukas 2 9 3 7 1 1 2 8 1 10 6
Kavaliauskas Adomas 5 4 5 7 1 9 7 3 10 6 6
Pocius Adomas 4 9 6 8 7 5 6 5 4 10 3
Grigaitis Andrius 2 2 10 1 5 3 1 7 7 5 1
Paulauskas Vilius 4 8 8 3 9 7 4 6 3 5 7
Jankauskas Mantas 6 4 10 2 1 2 4 10 4 2 9
Vasiliauskas Deividas 3 1 1 3 4 1 5 8 1 9 8
Noreika Vilius 9 5 9 10 4 3 10 6 1 8 9
Pocius Martynas 5 9 3 6 6 1 5 5 1 2 7
Kavaliauskas Nojus 1 4 8 3 2 6 8 5 4 9 10
Jankauskas Rokas 10 6 9 2 8 4 8 6 5 3 1
Noreika Vilius 8 4 6 3 8 9 7 7 7 6 8
Valantinas Titas 10 2 1 7 10 3 8 7 10 10 8
Vasiliauskas Ignas 9 7 7 5 6 9 5 4 10 5 8
Kairys Lukas 9 5 1 8 2 1 9 9 3 1 2
Giedraitis Benas 10 3 1 9 7 5 7 9 8 1 9
ukauskas Vilius 3 8 4 10 2 1 5 8 5 1 6
Kazlauskas Nojus 8 4 5 3 3 6 4 2 5 8 8
Kairys Arnas 1 10 1 7 1 6 3 10 1 8 2
Jankauskas Paulius 3 2 6 5 7 4 2 1 7 1 10
Grigaitis Vilius 4 4 7 4 8 4 3 7 4 10 8
?epas Deividas 1 10 7 8 9 5 8 1 2 10 8
Jankauskas Vilius 10 6 4 4 9 7 5 4 9 5 5
Jankauskas Adomas 1 5 1 2 5 2 10 8 6 8 6
Bacevi?ius Nojus 2 3 3 1 9 9 10 7 10 8 10
Pocius Arnas 4 10 2 1 5 5 3 7 9 3 1
Paulauskas Jonas 8 7 10 6 1 8 2 1 4 9 3
Kazlauskas Titas 7 8 8 4 9 1 3 3 10 7 4
Stankevi?ius Dominykas 7 4 4 5 1 6 10 9 9 8 5
Bacevi?ius Deividas 3 1 1 9 3 1 10 1 5 6 7
Maeika Laurynas 4 8 9 5 9 4 3 5 7 3 8
Giedraitis Titas 2 4 9 9 10 9 10 1 2 1 2
Petrauskas Vilius 8 9 4 9 9 5 7 7 5 9 8
Paulauskas Ignas 4 2 8 10 6 10 6 7 3 5 6
Mikalauskas Kajus 1 4 4 10 8 9 6 1 9 2 8
Pocius Rokas 3 2 2 3 6 8 9 4 6 6 1
Jankauskas Rokas 9 5 4 1 7 3 6 7 2 8 1
Paulauskas Lukas 6 2 2 8 5 1 6 9 1 10 9
Maeika Ignas 4 1 2 4 3 2 4 9 2 8 2
Kairys Arnas 2 3 1 8 1 2 1 2 9 8 2
Paulauskas Lukas 6 3 6 3 1 10 4 2 5 8 10
Kavaliauskas Lukas 5 4 7 6 4 8 10 4 3 8 6
Kazlauskas Arnas 1 4 8 7 2 10 2 5 5 6 7
Petrauskas Benas 3 3 2 8 10 2 3 5 8 3 2
Kairys Vilius 9 1 5 2 5 2 2 8 4 9 4
Kavaliauskas Kajus 10 10 4 7 3 1 1 7 6 3 8
Noreika Lukas 4 5 4 1 7 7 4 10 6 5 4
Maeika Deividas 8 7 8 3 6 8 6 10 2 2 6
Vasiliauskas Paulius 2 3 10 6 3 2 2 2 5 3 4
Petrauskas Vilius 6 1 8 5 6 1 1 8 4 6 2
Jankauskas Vilius 9 7 2 8 9 8 5 10 9 3 2
Šimkus Rokas 2 2 6 6 2 5 4 3 8 4 5
Kavaliauskas Benas 4 3 3 5 1 5 2 5 6 7 6
Šimkus Martynas 6 10 9 3 2 7 1 4 5 3 2
Grigaitis Dovydas 9 5 5 6 1 8 4 2 9 10 7
Šimkus Adomas 8 9 9 2 4 4 10 4 10 8 5
Šimkus Benas 10 5 6 1 1 6 8 10 4 5 2
?epas Nojus 8 4 7 1 10 9 3 9 3 2 6
Šimkus Laurynas 2 1 3 5 7 1 8 6 6 4 8
Mikalauskas Lukas 4 10 3 9 7 10 9 7 5 4 7
Stankevi?ius Titas 6 6 7 6 5 8 1 10 5 8 8
Jankauskas Tomas 3 5 10 9 6 10 7 2 8 6 10
Paulauskas Rokas 7 8 2 7 1 3 8 10 6 6 3
ukauskas Tomas 4 7 5 9 8 10 6 4 1 6 4
ukauskas Jonas 7 7 7 5 4 6 8 1 6 3 6
Maeika Ignas 6 1 5 8 5 5 10 6 1 7 7
Sadauskas Lukas 6 6 10 3 6 2 5 4 2 6 5
ukauskas Kajus 8 2 5 7 9 4 2 3 1 2 3
?epas Mantas 3 8 5 5 3 2 8 1 3 10 2
ukauskas Titas 2 6 10 5 10 10 7 5 6 3 5
Giedraitis Andrius 6 9 8 5 10 8 3 4 9 5 5
ukauskas Deividas 4 9 5 1 1 4 7 2 8 9 9
Sadauskas Lukas 3 3 4 5 6 5 10 8 10 7 6
Stankevi?ius Deividas 1 9 8 10 3 3 5 2 9 10 8
Maeika Benas 10 4 6 7 10 4 7 2 4 9 8
Vasiliauskas Jonas 4 1 1 5 3 7 8 6 1 2 2
Vasiliauskas Benas 6 7 1 10 9 7 5 3 3 7 7
Valantinas Kajus 2 5 3 7 6 8 3 2 1 4 9
Bacevi?ius Arnas 3 2 4 9 8 7 6 6 9 2 1
Valantinas Dovydas 5 1 9 5 8 9 9 5 10 1 10
Bacevi?ius Mantas 2 3 1 5 7 10 3 5 6 8 9
Šimkus Kajus 4 8 2 7 5 4 1 10 3 2 9
Paulauskas Ignas 5 7 9 8 7 2 1 6 6 1 6
Sadauskas Adomas 6 6 7 3 7 8 8 9 1 8 1
Petrauskas Nojus 1 3 9 5 2 4 1 7 9 9 10
Pocius Martynas 8 4 5 8 7 1 9 1 8 1 2
Jankauskas Mantas 6 4 7 10 6 10 7 7 6 5 1
Giedraitis Paulius 1 10 5 7 6 1 3 8 7 10 4
Pocius Dominykas 10 10 9 9 10 9 5 4 3 7 9
Pocius Benas 1 4 1 2 6 5 6 2 2 8 8
Bacevi?ius Adomas 2 6 10 6 9 1 7 4 3 8 4
Petrauskas Paulius 7 9 8 1 4 2 2 7 5 2 6
?epas Laurynas 2 10 3 2 4 3 3 4 9 9 2
Vasiliauskas Arnas 10 5 3 4 8 2 6 5 7 2 8
Paulauskas Dominykas 5 8 2 6 6 1 7 3 4 1 1
Paulauskas Deividas 8 10 9 3 2 3 4 4 8 7 3
Sadauskas Tomas 7 7 2 3 5 7 6 2 5 3 7
Kavaliauskas Andrius 7 2 6 10 6 5 10 10 4 7 3
Giedraitis Adomas 4 7 6 7 8 4 2 8 8 10 7
Šimkus Laurynas 6 3 9 4 6 8 1 1 7 3 10
Grigaitis Arnas 2 8 10 6 10 8 9 2 7 8 6
