Pavarde        Vardas         Galutinis (Vid.)
Aurimas        Sabonis            5.23
Eimantas       Petraitis          8.40
Mindaugas      Sabonis            7.89
Karolis        Dapkus             7.31
Andrius        Žukauskas          7.46
Paulius        Juodka             5.34
Dominykas      Dapkus             5.89
Arvydas        Pocius             6.97
Rokas          Kazlauskas         5.89
Antanas        Pocius             6.66
Karolis        Balčiūnas          7.03
Ignas          Stankevičius       8.51
Edgaras        Stankevičius       6.31
Paulius        Jankauskas         5.11
Gabrielius     Matulis            8.49
Šarūnas        Jasinskas          5.11
Eimantas       Paulauskas         6.11
Vilius         Jankauskas         5.63
Jonas          Vaičiūnas          7.17
Arvydas        Juodka             9.49
Paulius        Jasinskas          8.69
Eimantas       Petraitis          5.63
Edgaras        Dapkus             5.49
Saulius        Kundrotas          7.46
Karolis        Stankevičius       8.29
Justinas       Balčiūnas          6.54
Simonas        Jasinskas          6.97
Saulius        Stankevičius       5.11
Gabrielius     Jasinskas          5.80
Mindaugas      Pocius             5.43
Saulius        Šimkus             8.34
Ignas          Bagdonas           8.17
Vytautas       Urbonas            6.94
Simonas        Dapkus             6.11
Simonas        Sabonis            5.66
Arnas          Sakalauskas        7.06
Edgaras        Petraitis          7.94
Simonas        Urbonas            7.40
Arvydas        Norkus             5.00
Mindaugas      Petrauskas         6.66
Antanas        Misevičius         6.49
Mantas         Jasinskas          7.23
Simonas        Vaičiūnas          6.77
Karolis        Kairys             7.77
Simonas        Sabonis            6.31
Šarūnas        Žukauskas          8.57
Ernestas       Kazlauskas         7.54
Karolis        Šimkus             5.09
Saulius        Paulauskas         5.51
Gabrielius     Misevičius         8.29
Andrius        Navickas           8.80
Edgaras        Vaitkus            5.49
Paulius        Norkus             5.89
Deividas       Paulauskas         7.37
Mantas         Balsys             7.74
Simonas        Stankevičius       7.23
Dovydas        Šimkus             7.66
Karolis        Kundrotas          7.34
Lukas          Petraitis          5.46
Jonas          Petraitis          7.06
Eimantas       Kundrotas          5.60
Eimantas       Stankevičius       7.26
Simonas        Kairys             6.06
Dovydas        Butkus             6.00
Mindaugas      Petrauskas         6.31
Mantas         Jankauskas         5.31
Dovydas        Misevičius         5.46
Andrius        Pocius             7.49
Vytautas       Petraitis          7.86
Simonas        Vaitkus            8.17
Lukas          Kundrotas          6.49
Martynas       Kairys             6.97
Arvydas        Pocius             8.06
Arnas          Kazlauskas         7.71
Paulius        Sakalauskas        7.74
Martynas       Vaičiūnas          7.77
Aurimas        Sakalauskas        8.23
Arnas          Sabonis            7.43
Justinas       Kazlauskas         5.74
Deividas       Jankauskas         8.11
Tomas          Butkus             6.06
Deividas       Misevičius         8.46
Šarūnas        Rutkauskas         8.74
Edgaras        Šimkus             7.57
Dominykas      Kairys             7.54
Deividas       Balčiūnas          6.80
Gabrielius     Navickas           8.40
Andrius        Butkus             6.94
Simonas        Stankevičius       6.54
Ignas          Kundrotas          5.66
Ignas          Bagdonas           6.00
Arvydas        Jasinskas          7.46
Tomas          Jankauskas         5.43
Tomas          Paulauskas         6.34
Arvydas        Misevičius         5.23
Deividas       Jankauskas         6.69
Martynas       Dapkus             5.74
Tomas          Dapkus             6.17
Mindaugas      Petrauskas         5.60
Jonas          Sabonis            6.31
Deividas       Rutkauskas         8.17
Mantas         Navickas           5.57
Šarūnas        Jankauskas         7.14
Laurynas       Kairys             7.97
Paulius        Pocius             5.69
Dominykas      Misevičius         6.26
Dovydas        Morkūnas           7.31
Simonas        Butkus             6.91
Deividas       Urbonas            7.40
Vilius         Matulis            6.57
Laurynas       Šimkus             6.66
Vytautas       Misevičius         7.29
Vytautas       Juodka             7.66
Karolis        Šimkus             5.23
Eimantas       Navickas           7.69
Justinas       Juodka             6.83
Antanas        Dapkus             6.14
Simonas        Kairys             5.94
Edgaras        Dapkus             5.11
Laurynas       Bagdonas           7.69
Jonas          Pocius             6.60
Rokas          Pocius             7.77
Edgaras        Bagdonas           5.34
Karolis        Bagdonas           6.40
Paulius        Zelvys             5.94
Šarūnas        Misevičius         5.71
Edgaras        Petrauskas         8.17
Vytautas       Balčiūnas          6.97
Simonas        Balsys             6.49
Andrius        Stankevičius       7.83
Giedrius       Jasinskas          6.46
Laurynas       Kazlauskas         8.06
Arnas          Norkus             6.17
Ignas          Vaitkus            5.54
Jonas          Norkus             5.86
Martynas       Norkus             5.71
Gabrielius     Jasinskas          8.34
Simonas        Šimkus             5.89
Eimantas       Vaitkus            6.89
Andrius        Kazlauskas         7.80
Arnas          Jasinskas          7.63
Šarūnas        Rutkauskas         6.69
Ignas          Kundrotas          7.14
Šarūnas        Paulauskas         7.94
Vytautas       Zelvys             6.34
Aurimas        Jasinskas          5.91
Ignas          Žukauskas          5.91
Jonas          Vaitkus            7.83
Mindaugas      Balčiūnas          5.74
Arnas          Zelvys             7.91
Andrius        Kairys             6.74
Karolis        Morkūnas           8.40
Antanas        Matulis            5.11
Rokas          Stankevičius       5.23
Vytautas       Navickas           7.03
Tomas          Juodka             7.69
Andrius        Balsys             7.49
Arvydas        Zelvys             7.71
Jonas          Kazlauskas         8.14
Eimantas       Petrauskas         7.14
Laurynas       Juodka             5.89
Andrius        Šimkus             6.26
Tomas          Bagdonas           8.06
Giedrius       Butkus             6.31
Arnas          Šimkus             8.74
Vilius         Balčiūnas          6.51
Ernestas       Vaitkus            8.00
Mantas         Šimkus             5.43
Ignas          Sabonis            6.51
Jonas          Stankevičius       6.49
Ignas          Jankauskas         7.00
Lukas          Rutkauskas         7.66
Rokas          Matulis            6.49
Aurimas        Balsys             6.80
Saulius        Petraitis          5.43
Vytautas       Navickas           5.89
Vytautas       Petrauskas         8.40
Arvydas        Morkūnas           5.63
Arnas          Kundrotas          7.17
Šarūnas        Butkus             5.63
Vilius         Žukauskas          5.40
Laurynas       Urbonas            7.51
Edgaras        Kundrotas          7.34
Gabrielius     Juodka             7.29
Deividas       Balsys             7.83
Aurimas        Juodka             6.66
Dovydas        Norkus             8.74
Lukas          Sakalauskas        5.26
Vilius         Jasinskas          5.43
Vytautas       Petraitis          7.89
Lukas          Matulis            5.46
Laurynas       Vaitkus            7.86
Vytautas       Navickas           7.23
Šarūnas        Paulauskas         5.31
Rokas          Navickas           8.63
Andrius        Paulauskas         8.17
Mantas         Petrauskas         5.00
Simonas        Kundrotas          7.63
Paulius        Kairys             5.54
Rokas          Balsys             8.11
Ignas          Šimkus             6.00
Giedrius       Jankauskas         7.34
Aurimas        Misevičius         5.46
Giedrius       Petraitis          8.40
Giedrius       Jankauskas         5.06
Šarūnas        Butkus             5.31
Deividas       Navickas           8.51
Jonas          Kairys             6.83
Simonas        Misevičius         7.46
Tomas          Vaitkus            6.57
Arnas          Rutkauskas         7.49
Deividas       Jasinskas          8.57
Dovydas        Morkūnas           7.66
Šarūnas        Butkus             5.29
Antanas        Kazlauskas         7.31
Mindaugas      Sabonis            7.34
Aurimas        Žukauskas          7.63
Edgaras        Urbonas            7.49
Dominykas      Norkus             6.80
Dominykas      Kundrotas          5.37
Andrius        Balsys             7.71
Ignas          Dapkus             6.77
Justinas       Norkus             8.29
Ernestas       Matulis            5.91
Ignas          Stankevičius       8.03
Tomas          Vaitkus            7.46
Antanas        Žukauskas          8.46
Vilius         Rutkauskas         5.94
Karolis        Butkus             5.06
Aurimas        Sakalauskas        8.51
Gabrielius     Sabonis            6.03
Arnas          Šimkus             7.71
Aurimas        Kairys             8.29
Laurynas       Morkūnas           7.89
Andrius        Misevičius         5.00
Saulius        Kundrotas          5.37
Ernestas       Sabonis            7.49
Šarūnas        Balsys             6.23
Simonas        Morkūnas           5.20
Mindaugas      Vaičiūnas          5.91
Giedrius       Stankevičius       5.20
Ignas          Jankauskas         6.20
Dovydas        Petraitis          7.60
Aurimas        Dapkus             7.91
Giedrius       Dapkus             6.51
Martynas       Sabonis            6.26
Mindaugas      Dapkus             5.09
Tomas          Bagdonas           7.31
Mantas         Vaičiūnas          8.34
Giedrius       Urbonas            7.37
Dominykas      Pocius             7.23
Laurynas       Sakalauskas        5.86
Giedrius       Norkus             7.86
Šarūnas        Morkūnas           7.94
Laurynas       Matulis            7.26
Arnas          Kairys             6.77
Simonas        Sakalauskas        6.91
Karolis        Kazlauskas         5.66
Arnas          Vaitkus            7.14
Dominykas      Norkus             6.17
Aurimas        Vaičiūnas          5.34
Simonas        Rutkauskas         5.03
Arvydas        Butkus             6.17
Dovydas        Sabonis            7.14
Laurynas       Šimkus             6.40
Vytautas       Paulauskas         5.57
Vilius         Bagdonas           6.51
Arvydas        Vaitkus            5.63
Arvydas        Urbonas            6.26
Antanas        Kazlauskas         5.63
Laurynas       Matulis            5.00
Mindaugas      Žukauskas          8.46
Karolis        Morkūnas           5.23
Dominykas      Rutkauskas         5.74
Vilius         Pocius             7.20
Rokas          Petrauskas         6.77
Deividas       Kundrotas          8.09
Rokas          Balsys             5.83
Šarūnas        Matulis            5.20
Laurynas       Bagdonas           7.09
Aurimas        Petraitis          6.80
Tomas          Rutkauskas         5.77
Ernestas       Stankevičius       8.09
Eimantas       Norkus             5.03
Aurimas        Sakalauskas        5.77
Eimantas       Jankauskas         6.97
Andrius        Dapkus             7.51
Deividas       Jankauskas         5.11
Gabrielius     Misevičius         6.09
Dominykas      Sakalauskas        5.34
Mindaugas      Balsys             8.11
Vilius         Kundrotas          5.69
Dovydas        Urbonas            7.34
Karolis        Dapkus             5.71
Paulius        Sakalauskas        8.11
Vytautas       Kundrotas          8.51
Vilius         Kairys             7.54
Antanas        Žukauskas          7.71
Laurynas       Zelvys             7.89
Deividas       Rutkauskas         5.91
Dominykas      Balsys             6.69
Edgaras        Pocius             5.51
Mantas         Paulauskas         6.69
Šarūnas        Rutkauskas         8.91
Rokas          Vaitkus            6.43
Lukas          Sabonis            6.31
Mantas         Pocius             5.34
Dovydas        Vaičiūnas          8.06
Simonas        Šimkus             5.09
Gabrielius     Norkus             8.09
Deividas       Misevičius         6.54
Tomas          Kundrotas          5.14
Ignas          Balčiūnas          6.06
Andrius        Petraitis          5.77
Mindaugas      Stankevičius       5.26
Arnas          Balsys             8.40
Martynas       Zelvys             6.89
Ernestas       Navickas           6.26
Giedrius       Kairys             8.57
Dovydas        Bagdonas           5.06
Arvydas        Kazlauskas         8.34
Mantas         Sakalauskas        5.31
Simonas        Dapkus             8.63
Ernestas       Kairys             6.29
Tomas          Kairys             6.06
Simonas        Sabonis            7.14
Giedrius       Rutkauskas         8.86
Simonas        Petraitis          5.26
Tomas          Stankevičius       7.94
Andrius        Pocius             5.80
Aurimas        Vaičiūnas          7.74
Laurynas       Petraitis          5.66
Vytautas       Paulauskas         7.17
Šarūnas        Pocius             6.77
Aurimas        Pocius             6.77
Giedrius       Navickas           7.86
Dominykas      Jankauskas         5.66
Andrius        Norkus             6.51
Arnas          Sabonis            8.03
Mindaugas      Morkūnas           7.06
Arnas          Vaitkus            8.00
Giedrius       Navickas           8.09
Andrius        Juodka             6.57
Antanas        Pocius             5.83
Giedrius       Balčiūnas          5.97
Ernestas       Kazlauskas         5.40
Justinas       Kairys             7.29
Deividas       Paulauskas         7.23
Martynas       Rutkauskas         5.57
Edgaras        Jasinskas          7.77
Simonas        Pocius             7.89
Mindaugas      Bagdonas           5.34
Antanas        Sabonis            6.43
Eimantas       Urbonas            7.71
Dovydas        Kundrotas          6.57
Laurynas       Paulauskas         6.74
Aurimas        Kundrotas          8.23
Saulius        Kundrotas          6.83
Eimantas       Šimkus             8.14
Arvydas        Navickas           7.57
Jonas          Vaičiūnas          7.60
Antanas        Jankauskas         6.06
Jonas          Šimkus             6.46
Vilius         Žukauskas          6.14
Martynas       Pocius             5.49
Ignas          Bagdonas           8.34
Vytautas       Navickas           5.89
Andrius        Matulis            7.94
Karolis        Zelvys             6.89
Lukas          Butkus             6.71
Gabrielius     Paulauskas         8.09
Justinas       Kundrotas          6.86
Mindaugas      Zelvys             5.71
Arnas          Jasinskas          6.29
Aurimas        Zelvys             5.94
Paulius        Jasinskas          5.66
Ernestas       Petraitis          7.00
Vilius         Balsys             8.03
Ernestas       Balsys             6.86
Rokas          Kazlauskas         5.60
Jonas          Morkūnas           5.29
Simonas        Petrauskas         6.43
Martynas       Petrauskas         7.80
Rokas          Zelvys             7.86
Arnas          Norkus             6.63
Mantas         Balsys             5.51
Martynas       Paulauskas         5.40
Rokas          Navickas           8.51
Karolis        Matulis            5.31
Paulius        Pocius             5.46
Lukas          Zelvys             6.66
Arvydas        Kundrotas          5.80
Laurynas       Misevičius         6.31
Dovydas        Butkus             5.09
Antanas        Misevičius         7.49
Ignas          Jasinskas          6.57
Mindaugas      Navickas           8.51
Vytautas       Kundrotas          7.14
Arvydas        Vaičiūnas          6.29
Antanas        Butkus             7.71
Arnas          Juodka             7.86
Justinas       Vaitkus            8.17
Andrius        Misevičius         6.60
Jonas          Norkus             8.60
Giedrius       Kairys             7.54
Lukas          Norkus             8.11
Eimantas       Vaitkus            6.34
Aurimas        Zelvys             7.94
Jonas          Morkūnas           8.06
Mantas         Rutkauskas         6.14
Rokas          Jasinskas          6.71
Laurynas       Misevičius         7.51
Eimantas       Zelvys             6.71
Dominykas      Kundrotas          5.94
Edgaras        Rutkauskas         5.23
Paulius        Dapkus             5.77
Vilius         Vaičiūnas          6.09
Vilius         Pocius             6.49
Andrius        Misevičius         6.97
Gabrielius     Norkus             8.23
Paulius        Juodka             6.14
Vytautas       Jasinskas          5.89
Mantas         Misevičius         5.17
Antanas        Matulis            7.57
Justinas       Rutkauskas         5.80
Vytautas       Balčiūnas          8.69
Tomas          Jankauskas         5.94
Eimantas       Vaičiūnas          6.60
Andrius        Bagdonas           5.40
Mantas         Kairys             6.51
Vytautas       Žukauskas          7.51
Deividas       Navickas           6.43
Arvydas        Juodka             6.37
Tomas          Jankauskas         7.89
Martynas       Kairys             6.63
Lukas          Kairys             7.31
Justinas       Dapkus             6.91
Lukas          Šimkus             7.74
Jonas          Misevičius         8.49
Tomas          Norkus             6.06
Mindaugas      Žukauskas          8.63
Laurynas       Butkus             5.03
Karolis        Sakalauskas        6.54
Vytautas       Kundrotas          5.63
Simonas        Norkus             6.54
Dominykas      Balčiūnas          8.23
Paulius        Vaitkus            8.23
Mindaugas      Šimkus             7.69
Tomas          Pocius             7.94
Saulius        Vaičiūnas          6.97
Rokas          Sakalauskas        5.03
Justinas       Paulauskas         6.03
Justinas       Dapkus             8.23
Giedrius       Vaičiūnas          6.51
Ignas          Zelvys             8.74
Antanas        Pocius             8.09
Dovydas        Juodka             9.03
Aurimas        Zelvys             6.89
Andrius        Petraitis          5.66
Saulius        Jankauskas         6.34
Rokas          Balčiūnas          5.26
Eimantas       Dapkus             6.97
Edgaras        Vaitkus            5.26
Ignas          Juodka             8.11
Lukas          Žukauskas          6.43
Justinas       Paulauskas         8.31
Jonas          Kazlauskas         8.34
Mindaugas      Stankevičius       7.74
Andrius        Vaitkus            7.57
Arvydas        Butkus             6.20
Jonas          Juodka             6.00
Arvydas        Šimkus             6.17
Arnas          Petraitis          6.63
Dominykas      Juodka             7.43
Laurynas       Juodka             6.29
Mantas         Balsys             6.66
Dovydas        Dapkus             6.89
Rokas          Butkus             7.91
Antanas        Balsys             5.66
Gabrielius     Vaičiūnas          7.00
Saulius        Balsys             8.63
Martynas       Vaitkus            5.00
Deividas       Kundrotas          8.17
Paulius        Kairys             7.34
Justinas       Sabonis            5.14
Šarūnas        Morkūnas           7.89
Deividas       Sabonis            8.51
Rokas          Šimkus             5.14
Vilius         Sakalauskas        5.34
Simonas        Urbonas            8.23
Giedrius       Paulauskas         5.00
Laurynas       Vaičiūnas          5.89
Edgaras        Juodka             8.86
Ernestas       Urbonas            6.80
Ignas          Bagdonas           6.94
Eimantas       Butkus             6.80
Jonas          Kazlauskas         6.09
Arnas          Rutkauskas         7.97
Antanas        Bagdonas           7.34
Mindaugas      Sabonis            6.63
Dovydas        Juodka             5.57
Arvydas        Dapkus             5.00
Edgaras        Norkus             5.46
Martynas       Sakalauskas        5.77
Andrius        Rutkauskas         5.83
Mindaugas      Balčiūnas          5.14
Jonas          Paulauskas         6.03
Saulius        Navickas           5.91
Laurynas       Vaitkus            6.51
Arnas          Paulauskas         7.80
Šarūnas        Misevičius         5.91
Arnas          Sakalauskas        5.03
Deividas       Urbonas            5.57
Dominykas      Juodka             5.20
Martynas       Zelvys             7.74
Giedrius       Sabonis            6.03
Paulius        Bagdonas           8.80
Justinas       Jasinskas          7.11
Martynas       Norkus             5.03
Ignas          Juodka             5.97
Laurynas       Jankauskas         5.54
Aurimas        Bagdonas           7.51
Eimantas       Bagdonas           8.29
Ignas          Kundrotas          7.09
Karolis        Navickas           6.63
Arnas          Petrauskas         7.49
Gabrielius     Vaičiūnas          6.37
Antanas        Balsys             8.29
Gabrielius     Kairys             6.03
Andrius        Balsys             6.94
Karolis        Sabonis            7.97
Giedrius       Matulis            7.29
Edgaras        Balsys             7.14
Andrius        Norkus             7.49
Mindaugas      Balčiūnas          5.89
Saulius        Urbonas            5.57
Edgaras        Pocius             6.86
Gabrielius     Pocius             7.40
Dominykas      Kazlauskas         7.91
Vilius         Petraitis          8.09
Saulius        Jankauskas         7.11
Dovydas        Šimkus             8.40
Edgaras        Sabonis            5.71
Paulius        Kairys             8.29
Ernestas       Petrauskas         5.63
Deividas       Vaičiūnas          5.06
Gabrielius     Kairys             8.57
Rokas          Kazlauskas         7.09
Šarūnas        Zelvys             5.77
Gabrielius     Kairys             6.06
Saulius        Butkus             8.86
Giedrius       Petraitis          6.69
Tomas          Bagdonas           8.29
Jonas          Morkūnas           8.74
Arnas          Zelvys             7.66
Jonas          Stankevičius       6.43
Giedrius       Morkūnas           8.34
Šarūnas        Jasinskas          5.17
Mantas         Matulis            8.29
Gabrielius     Jankauskas         7.37
Mindaugas      Matulis            6.29
Martynas       Kundrotas          7.69
Ignas          Balsys             7.34
Laurynas       Pocius             6.57
Mantas         Sabonis            7.49
Martynas       Zelvys             5.91
Karolis        Juodka             5.40
Karolis        Šimkus             7.97
Vytautas       Petraitis          5.63
Arnas          Balčiūnas          8.29
Gabrielius     Petrauskas         6.86
Laurynas       Balsys             7.37
Ignas          Kundrotas          5.06
Dovydas        Kazlauskas         5.09
Dominykas      Kazlauskas         6.17
Simonas        Sabonis            6.06
Ernestas       Rutkauskas         8.34
Karolis        Zelvys             5.09
Laurynas       Norkus             6.46
Tomas          Kairys             6.09
Laurynas       Sabonis            5.54
Andrius        Kazlauskas         5.17
Eimantas       Rutkauskas         5.43
Dominykas      Matulis            7.66
Lukas          Bagdonas           7.34
Giedrius       Kundrotas          6.54
Gabrielius     Vaitkus            7.83
Deividas       Urbonas            7.97
Vytautas       Kundrotas          7.00
Arnas          Pocius             7.43
Justinas       Norkus             8.86
Paulius        Paulauskas         7.83
Justinas       Dapkus             5.63
Andrius        Jankauskas         7.63
Ignas          Vaitkus            7.83
Edgaras        Balčiūnas          5.06
Arvydas        Navickas           5.20
Edgaras        Navickas           7.77
Eimantas       Rutkauskas         7.94
Ernestas       Petrauskas         5.29
Laurynas       Jasinskas          5.46
Mindaugas      Bagdonas           7.34
Eimantas       Morkūnas           6.83
Ignas          Misevičius         5.17
Ignas          Petrauskas         7.43
Ignas          Morkūnas           8.40
Gabrielius     Vaitkus            7.74
Deividas       Norkus             5.97
Saulius        Kairys             8.17
Giedrius       Jasinskas          5.20
Ernestas       Norkus             6.26
Mindaugas      Petrauskas         6.86
Simonas        Zelvys             6.14
Rokas          Misevičius         6.11
Šarūnas        Šimkus             6.83
Vilius         Vaitkus            5.34
Laurynas       Zelvys             7.74
Martynas       Balsys             8.31
Ernestas       Jankauskas         7.23
Šarūnas        Petraitis          7.03
Arvydas        Kundrotas          5.23
Arvydas        Sakalauskas        6.91
Ernestas       Butkus             6.54
Arnas          Stankevičius       5.20
Eimantas       Dapkus             6.74
Deividas       Butkus             6.63
Mindaugas      Sakalauskas        7.74
Laurynas       Kundrotas          6.14
Šarūnas        Sabonis            6.14
Vilius         Petraitis          5.71
Paulius        Šimkus             5.89
Edgaras        Navickas           5.34
Dovydas        Dapkus             7.74
Mantas         Petraitis          7.17
Mindaugas      Petrauskas         5.20
Jonas          Matulis            7.09
Arvydas        Morkūnas           8.63
Andrius        Kazlauskas         7.46
Saulius        Urbonas            5.97
Ernestas       Kazlauskas         6.69
Mantas         Sabonis            6.97
Šarūnas        Matulis            7.11
Vytautas       Zelvys             8.86
Martynas       Vaitkus            6.97
Rokas          Vaitkus            7.26
Simonas        Urbonas            8.43
Karolis        Jasinskas          5.46
Arnas          Rutkauskas         6.74
Dovydas        Petrauskas         5.43
Aurimas        Sabonis            5.66
Mindaugas      Pocius             5.77
Tomas          Matulis            8.51
Mantas         Navickas           7.03
Dominykas      Kairys             8.74
Tomas          Žukauskas          6.51
Aurimas        Bagdonas           7.74
Gabrielius     Balsys             5.49
Karolis        Jankauskas         6.03
Aurimas        Matulis            8.69
Mantas         Bagdonas           5.20
Eimantas       Bagdonas           5.40
Ignas          Stankevičius       7.89
Paulius        Sakalauskas        5.40
Arnas          Kazlauskas         6.34
Antanas        Jankauskas         6.09
Giedrius       Dapkus             7.54
Eimantas       Vaitkus            7.80
Giedrius       Urbonas            6.23
Martynas       Šimkus             6.54
Jonas          Kairys             5.49
Antanas        Dapkus             5.23
Justinas       Kairys             7.97
Arvydas        Paulauskas         5.17
Mindaugas      Sabonis            8.43
Jonas          Balčiūnas          6.11
Arvydas        Morkūnas           7.20
Arvydas        Kundrotas          6.97
Šarūnas        Paulauskas         8.29
Jonas          Petraitis          7.09
Ignas          Juodka             8.49
Lukas          Bagdonas           6.26
Vytautas       Paulauskas         6.31
Ignas          Stankevičius       6.26
Arvydas        Zelvys             6.40
Šarūnas        Balčiūnas          7.86
Edgaras        Vaitkus            7.20
Justinas       Bagdonas           5.29
Andrius        Sabonis            9.09
Edgaras        Sakalauskas        6.09
Lukas          Jankauskas         7.40
Ernestas       Navickas           8.11
Eimantas       Šimkus             7.63
Gabrielius     Žukauskas          8.29
Aurimas        Balsys             7.74
Dominykas      Bagdonas           5.23
Mantas         Dapkus             5.74
Jonas          Butkus             5.11
Deividas       Balčiūnas          7.94
Vilius         Šimkus             7.14
Edgaras        Norkus             5.17
Martynas       Pocius             6.40
Ernestas       Butkus             6.66
Deividas       Kairys             7.37
Saulius        Dapkus             8.06
Justinas       Žukauskas          5.03
Saulius        Žukauskas          5.23
Martynas       Kazlauskas         5.80
Edgaras        Žukauskas          7.91
Laurynas       Balsys             6.34
Mantas         Vaičiūnas          8.34
Laurynas       Morkūnas           5.43
Jonas          Kairys             6.03
Martynas       Vaičiūnas          7.51
Lukas          Matulis            7.80
Lukas          Balsys             7.20
Eimantas       Balčiūnas          8.17
Martynas       Bagdonas           6.37
Antanas        Petraitis          5.66
Andrius        Šimkus             7.66
Dominykas      Urbonas            7.37
Saulius        Morkūnas           7.80
Dovydas        Urbonas            6.17
Tomas          Sabonis            7.83
Eimantas       Navickas           5.49
Arnas          Dapkus             8.74
Vilius         Dapkus             5.20
Martynas       Šimkus             6.09
Vilius         Stankevičius       5.31
Gabrielius     Juodka             6.37
Vilius         Jankauskas         7.06
Dovydas        Rutkauskas         7.63
Martynas       Sabonis            8.06
Mantas         Sakalauskas        6.77
Laurynas       Kundrotas          7.49
Karolis        Stankevičius       8.74
Arnas          Vaitkus            6.97
Ignas          Bagdonas           6.74
Mindaugas      Bagdonas           6.26
Giedrius       Norkus             7.46
Arvydas        Balsys             7.54
Deividas       Butkus             6.63
Vytautas       Stankevičius       7.86
Tomas          Petraitis          8.51
Andrius        Butkus             7.23
Edgaras        Balsys             6.57
Paulius        Paulauskas         5.66
Simonas        Jankauskas         6.17
Rokas          Kazlauskas         5.00
Arvydas        Vaičiūnas          6.89
Justinas       Pocius             5.14
Paulius        Matulis            5.83
Saulius        Dapkus             6.00
Arnas          Kundrotas          8.20
Vilius         Vaitkus            8.29
Tomas          Sakalauskas        5.03
Dovydas        Sakalauskas        7.46
Martynas       Butkus             5.00
Andrius        Petrauskas         5.77
Paulius        Vaičiūnas          6.06
Dovydas        Rutkauskas         6.11
Ernestas       Zelvys             8.26
Laurynas       Petrauskas         5.40
Vilius         Navickas           6.91
Edgaras        Matulis            7.29
Justinas       Norkus             5.83
Vilius         Vaitkus            5.69
Vilius         Dapkus             7.11
Tomas          Jankauskas         6.74
Deividas       Jankauskas         6.63
Dominykas      Zelvys             6.54
Paulius        Vaitkus            7.91
Vytautas       Petrauskas         5.80
Ernestas       Kundrotas          6.80
Karolis        Žukauskas          7.23
Eimantas       Navickas           5.54
Arvydas        Juodka             6.89
Ignas          Kundrotas          6.86
Martynas       Pocius             7.71
Martynas       Butkus             6.14
Justinas       Pocius             6.20
Gabrielius     Butkus             6.77
Arvydas        Jasinskas          5.09
Martynas       Norkus             8.46
Lukas          Šimkus             5.57
Lukas          Jankauskas         8.51
Justinas       Paulauskas         6.54
Šarūnas        Šimkus             5.06
Karolis        Balčiūnas          8.49
Justinas       Matulis            7.66
Martynas       Morkūnas           7.57
Dominykas      Butkus             6.63
Arvydas        Sakalauskas        6.89
Arvydas        Juodka             7.06
Paulius        Vaičiūnas          5.60
Paulius        Navickas           5.77
Saulius        Urbonas            5.54
Giedrius       Vaitkus            8.37
Karolis        Petrauskas         5.14
Tomas          Misevičius         7.66
Antanas        Sakalauskas        6.40
Mindaugas      Šimkus             7.63
Vytautas       Jankauskas         5.11
Vytautas       Navickas           5.26
Deividas       Navickas           7.43
Justinas       Kundrotas          6.37
Martynas       Navickas           7.66
Gabrielius     Juodka             6.23
Arnas          Navickas           6.43
Laurynas       Kazlauskas         5.03
Dovydas        Zelvys             6.63
Martynas       Sakalauskas        5.60
Antanas        Rutkauskas         8.11
Paulius        Pocius             5.17
Vilius         Paulauskas         6.86
Ignas          Sabonis            8.66
Laurynas       Kazlauskas         8.34
Dovydas        Balsys             6.20
Dovydas        Kundrotas          7.31
Vilius         Norkus             5.51
Rokas          Urbonas            5.74
Mantas         Jasinskas          6.86
Paulius        Dapkus             7.91
Deividas       Petrauskas         7.17
Saulius        Rutkauskas         5.74
Lukas          Petraitis          5.71
Mindaugas      Norkus             8.46
Vilius         Misevičius         8.00
Arvydas        Petrauskas         7.86
Jonas          Kundrotas          5.71
Andrius        Morkūnas           7.31
Mindaugas      Zelvys             6.09
Karolis        Rutkauskas         7.97
Laurynas       Jankauskas         6.60
Simonas        Pocius             9.43
Martynas       Šimkus             6.34
Giedrius       Matulis            6.83
Martynas       Kazlauskas         6.31
Saulius        Vaitkus            6.91
Simonas        Jankauskas         5.89
Antanas        Vaitkus            6.60
Saulius        Kundrotas          7.46
Dominykas      Vaičiūnas          7.80
Saulius        Sabonis            5.29
Giedrius       Morkūnas           6.51
Aurimas        Kazlauskas         7.40
Mindaugas      Paulauskas         5.23
Jonas          Kundrotas          5.51
Aurimas        Stankevičius       7.83
Vilius         Vaičiūnas          8.23
Dominykas      Petraitis          5.94
Dominykas      Balčiūnas          5.54
Vytautas       Paulauskas         7.91
Ernestas       Pocius             8.00
Aurimas        Juodka             7.37
Giedrius       Matulis            6.06
Ernestas       Petraitis          5.31
Ernestas       Kairys             6.77
Deividas       Norkus             8.51
Deividas       Petrauskas         7.31
Lukas          Pocius             5.86
Vilius         Sabonis            5.69
Martynas       Rutkauskas         8.00
Laurynas       Petrauskas         8.69
Dominykas      Norkus             7.37
Rokas          Rutkauskas         8.06
Šarūnas        Urbonas            7.77
Vytautas       Kazlauskas         8.31
Gabrielius     Stankevičius       6.63
Eimantas       Dapkus             6.26
Justinas       Bagdonas           6.94
Vilius         Petrauskas         7.09
Laurynas       Misevičius         6.97
Karolis        Petraitis          6.74
Mantas         Morkūnas           7.94
Paulius        Petrauskas         6.31
Mindaugas      Vaičiūnas          6.54
Ignas          Petraitis          5.46
