Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 ND11 ND12 ND13 ND14 ND15 Egz.
Lukas Sakalauskas 5 6 10 10 6 9 4 4 10 2 6 8 1 10 4 6
Lukas Šimkus 6 4 6 7 4 6 7 1 4 9 1 4 6 9 7 3
Mindaugas Pocius 1 6 9 8 2 4 10 1 10 5 3 1 10 2 7 10
Andrius Butkus 7 9 3 6 6 4 3 1 1 8 7 10 5 2 3 5
Vilius Jasinskas 8 1 8 8 3 1 3 6 9 5 1 10 10 1 5 3
Vytautas Petraitis 10 1 5 4 3 1 9 10 7 8 1 2 4 1 5 5
Lukas Matulis 5 2 4 8 10 4 10 5 9 1 4 4 4 3 3 2
Laurynas Vaitkus 4 10 7 8 7 4 3 9 7 7 5 2 5 9 10 9
Vytautas Navickas 9 4 5 2 5 1 6 9 7 2 7 10 8 7 10 6
Šarūnas Paulauskas 4 1 6 7 5 4 3 6 1 3 10 1 2 2 6 4
Giedrius Paulauskas 10 8 4 4 10 3 5 1 4 2 6 8 5 2 1 1
Mantas Paulauskas 7 3 4 4 4 4 9 4 9 8 10 10 8 9 3 3
Rokas Navickas 6 10 3 10 1 9 7 10 1 9 10 4 7 6 3 9
Andrius Paulauskas 7 10 6 4 5 1 5 10 7 6 5 1 4 10 10 2
Mantas Petrauskas 3 8 1 5 9 4 5 5 10 4 9 1 2 8 7 7
Rokas Jankauskas 5 2 10 9 8 4 4 4 1 6 7 9 8 5 10 4
Tomas Bagdonas 6 8 3 1 10 2 4 5 5 1 10 7 7 8 4 9
Simonas Kundrotas 1 8 2 10 6 3 9 9 9 2 4 9 2 5 7 8
Eimantas Butkus 9 10 5 1 3 5 4 4 1 2 5 6 9 8 5 7
Deividas Bagdonas 4 4 6 5 4 2 5 3 2 3 7 6 7 9 2 8
Paulius Kairys 1 7 10 3 1 3 9 6 6 8 5 7 4 1 8 10
Rokas Balsys 4 8 9 1 7 5 3 10 9 2 10 2 8 10 1 7
Andrius Balsys 2 10 2 10 10 3 4 3 1 8 8 2 7 4 7 2
Giedrius Jasinskas 9 2 3 1 3 3 8 4 5 4 5 3 3 2 5 1
Ignas Šimkus 1 7 10 6 2 6 10 6 3 2 4 3 1 2 6 3
Eimantas Vaitkus 1 10 5 7 10 1 7 1 8 1 1 8 4 6 8 1
Giedrius Jankauskas 6 7 1 1 10 5 4 9 10 4 8 6 5 8 9 9
Aurimas Misevičius 6 7 3 7 4 10 6 5 7 10 1 9 10 7 4 2
Giedrius Petraitis 4 10 9 9 1 6 3 10 7 4 4 5 6 5 8 1
Giedrius Jankauskas 3 10 9 3 2 4 5 5 2 5 9 2 9 1 3 5
Ernestas Kazlauskas 1 10 10 8 10 5 4 3 4 9 3 4 2 8 3 4
Šarūnas Butkus 2 7 9 7 2 2 1 6 7 8 4 10 3 7 6 6
Ignas Kairys 7 7 4 9 3 1 10 3 2 3 5 5 9 1 4 10
Deividas Navickas 9 10 6 1 3 10 5 10 9 4 8 3 7 1 1 4
Ignas Petraitis 1 6 7 6 1 8 8 4 7 4 5 4 7 9 6 4
Arnas Stankevičius 5 4 3 10 4 7 3 4 10 2 3 7 2 7 3 1
Jonas Kairys 5 10 8 9 2 7 5 7 2 9 1 3 1 1 5 4
Simonas Misevičius 10 3 2 6 3 4 8 9 10 4 5 2 2 6 8 2
Tomas Vaitkus 7 8 3 10 8 9 7 6 4 10 10 4 4 7 6 9
Arnas Rutkauskas 10 8 6 5 7 10 1 8 4 7 9 9 4 9 6 2
Deividas Jasinskas 4 7 3 8 9 6 8 10 8 4 5 6 3 5 2 2
Dovydas Morkūnas 3 3 6 5 2 3 7 10 3 8 3 3 6 7 8 4
Šarūnas Butkus 4 2 10 9 1 8 6 5 5 7 10 1 5 3 4 2
Ignas Balsys 4 6 7 5 8 1 5 3 6 7 4 7 10 7 10 9
Antanas Kazlauskas 4 10 5 5 3 9 8 8 7 6 5 8 1 10 2 4
Tomas Urbonas 5 6 2 5 4 6 8 4 2 9 8 8 7 2 4 5
Mindaugas Sabonis 8 3 3 6 3 8 3 9 3 4 5 4 3 3 3 8
Aurimas Žukauskas 9 10 8 9 8 10 6 7 3 6 4 9 6 4 1 10
Edgaras Urbonas 3 7 3 8 7 10 9 8 8 2 6 5 5 10 6 6
Antanas Vaitkus 2 4 3 3 10 3 4 3 8 8 2 8 5 2 5 8
Dominykas Norkus 10 1 10 5 5 1 3 8 6 2 3 3 10 8 9 4
Eimantas Sabonis 2 1 10 4 8 9 8 2 9 2 1 3 1 9 8 3
Martynas Misevičius 6 6 4 5 3 4 9 2 9 5 9 4 9 8 1 3
Paulius Dapkus 4 9 1 2 4 3 5 4 2 7 7 9 5 9 3 1
Dominykas Kundrotas 9 10 7 5 7 7 7 4 4 7 1 4 9 8 7 10
Andrius Balsys 10 2 5 2 3 1 7 10 3 5 3 10 3 9 5 10
Tomas Matulis 7 8 3 1 2 9 8 4 1 1 1 6 7 10 9 10
Aurimas Petrauskas 1 4 7 10 9 10 3 3 8 7 9 4 8 2 1 7
Ignas Dapkus 5 3 6 8 9 4 10 7 6 5 8 6 2 10 5 7
Justinas Norkus 5 6 1 4 7 10 7 10 6 7 8 3 4 9 2 8
Edgaras Norkus 9 1 2 9 6 10 4 1 1 2 10 7 4 7 10 2
Ernestas Matulis 6 3 7 8 7 10 10 5 6 4 3 2 4 3 8 7
Ignas Stankevičius 7 7 6 10 5 7 4 9 8 9 1 2 1 10 5 9
Vilius Pocius 5 3 6 8 5 7 4 2 2 10 2 8 5 1 3 6
Dovydas Petrauskas 5 9 7 1 6 5 2 2 2 7 2 3 4 6 7 6
Edgaras Žukauskas 9 10 7 1 8 1 1 3 10 1 9 4 6 1 9 6
Giedrius Žukauskas 1 10 7 3 5 1 2 4 6 2 7 2 8 9 8 2
Tomas Vaitkus 6 3 7 10 2 3 5 9 6 3 4 1 7 3 1 5
Ignas Dapkus 3 9 4 2 2 8 6 5 9 9 9 3 6 6 8 5
Antanas Žukauskas 5 8 3 1 8 10 8 10 3 8 8 1 3 8 6 7
Giedrius Vaičiūnas 2 5 4 9 10 2 1 4 1 6 2 3 7 1 6 9
Vilius Rutkauskas 1 10 8 3 7 2 10 6 5 4 6 10 4 4 1 1
Karolis Butkus 4 6 7 2 3 4 10 5 3 9 4 5 8 10 8 1
Aurimas Sakalauskas 5 10 10 4 10 3 2 10 1 10 7 4 9 10 1 7
Mindaugas Butkus 7 7 8 7 7 5 10 2 6 2 5 10 10 7 3 6
Vytautas Sakalauskas 4 4 4 7 9 7 7 1 8 2 5 7 3 10 5 6
Gabrielius Sabonis 6 3 9 2 2 8 2 7 9 8 9 6 9 9 7 8
Arnas Šimkus 5 2 4 3 6 1 9 10 4 10 3 10 3 10 10 10
Aurimas Kairys 8 6 9 3 3 2 9 10 3 2 4 4 10 8 7 7
Laurynas Morkūnas 1 4 1 3 6 10 8 10 10 1 9 1 8 9 6 4
Andrius Misevičius 2 7 10 2 3 2 9 5 4 7 4 9 7 3 1 3
Saulius Kundrotas 5 6 8 9 1 1 1 6 1 6 2 3 7 4 10 9
Antanas Zelvys 10 8 1 5 6 9 8 3 5 7 7 10 8 10 10 9
Ernestas Sabonis 2 9 3 1 7 1 3 10 7 10 9 10 8 9 2 3
Antanas Žukauskas 9 2 10 6 4 5 1 1 4 7 8 5 4 7 2 4
Giedrius Žukauskas 10 1 6 10 8 6 5 1 2 7 3 6 4 5 4 8
Šarūnas Balsys 3 10 3 1 10 10 9 6 6 1 7 3 2 3 5 8
Deividas Sabonis 2 4 6 2 10 1 9 4 3 8 10 7 8 3 3 1
Simonas Morkūnas 4 7 1 1 7 7 1 6 2 2 10 7 2 2 6 4
Mindaugas Vaičiūnas 3 3 7 5 4 2 6 7 8 1 3 9 1 9 3 6
Giedrius Stankevičius 5 3 2 4 5 7 2 6 2 10 10 2 3 1 4 4
Ignas Jankauskas 6 2 2 4 2 10 9 7 2 6 10 8 2 2 5 7
Arnas Petrauskas 1 1 9 3 7 1 8 3 5 8 7 2 1 1 7 2
Dovydas Petraitis 6 10 8 9 10 4 2 8 6 7 2 1 8 5 7 10
Martynas Rutkauskas 7 8 8 3 1 7 3 3 3 1 4 6 10 1 2 4
Martynas Juodka 6 10 1 4 9 2 5 4 9 5 1 6 9 1 4 4
Giedrius Norkus 8 7 9 3 3 8 3 1 7 7 5 5 1 6 5 4
Aurimas Dapkus 8 6 8 4 10 6 2 9 3 6 1 6 8 7 8 4
Giedrius Dapkus 2 1 10 4 2 5 6 8 9 9 7 6 2 1 1 8
Martynas Sabonis 6 2 7 4 10 4 3 7 9 2 3 10 3 7 3 4
Mindaugas Dapkus 9 5 7 7 7 6 6 4 5 9 7 9 5 7 1 10
Tomas Bagdonas 7 7 9 3 2 10 6 8 8 9 7 5 6 1 7 10
Mantas Vaičiūnas 8 6 3 9 7 5 3 10 2 9 10 7 6 7 2 3
Rokas Petrauskas 5 4 6 8 10 7 9 1 8 9 7 8 1 6 2 6
Antanas Juodka 1 3 1 5 2 8 9 1 9 5 1 3 2 4 6 10
Mindaugas Dapkus 10 1 9 8 9 7 1 1 9 1 5 3 7 4 1 4
Arvydas Matulis 6 10 7 4 1 7 8 3 7 3 5 10 1 3 8 7
Giedrius Urbonas 2 7 7 8 10 1 10 8 1 6 3 4 6 4 3 1
Paulius Navickas 4 2 3 5 3 2 2 3 6 10 2 3 7 1 1 7
Dominykas Juodka 4 5 9 10 4 7 1 4 3 1 8 1 10 9 6 8
Dominykas Pocius 2 8 5 9 9 10 10 7 4 3 6 9 6 2 9 5
Laurynas Sakalauskas 7 9 2 6 10 6 10 5 2 1 1 3 2 5 4 7
Giedrius Norkus 6 10 10 5 2 2 8 9 5 2 5 1 7 9 2 5
Šarūnas Morkūnas 8 4 5 2 1 10 4 10 5 3 1 4 10 3 5 10
Laurynas Matulis 4 8 6 8 5 5 7 8 1 1 7 6 4 10 5 7
Simonas Žukauskas 9 2 5 8 10 1 2 3 1 2 9 2 2 8 6 1
Arnas Kairys 3 2 7 2 5 4 1 9 5 1 4 2 8 7 1 4
Simonas Sakalauskas 6 5 9 2 3 8 4 8 3 2 8 4 1 3 1 9
Karolis Kazlauskas 1 6 5 10 7 1 6 6 3 9 1 2 8 4 2 4
Arnas Vaitkus 6 10 4 9 3 8 1 8 9 6 1 10 2 9 4 3
Dominykas Norkus 9 2 2 3 6 1 1 8 5 3 10 8 8 8 10 2
Edgaras Dapkus 7 3 5 4 4 9 1 5 1 4 9 1 5 1 9 4
Rokas Paulauskas 3 6 9 4 1 1 5 4 1 5 5 2 7 5 9 4
Aurimas Vaičiūnas 3 5 9 5 7 3 9 5 7 3 7 4 1 2 3 7
Simonas Rutkauskas 10 9 3 2 8 7 7 4 6 2 1 7 3 3 5 2
Dovydas Kairys 10 1 7 10 2 8 1 3 6 6 2 2 7 6 9 4
Arvydas Butkus 7 5 1 3 10 10 9 6 10 1 5 3 10 8 4 5
Dovydas Sabonis 8 5 6 3 10 1 8 8 2 3 7 10 9 6 7 2
Aurimas Sakalauskas 10 5 2 9 10 9 7 2 8 7 5 9 5 3 5 7
Giedrius Petrauskas 8 7 9 10 6 3 9 1 8 2 7 4 5 4 6 10
Laurynas Šimkus 10 1 7 10 10 10 1 6 6 5 9 10 7 10 8 9
Vytautas Paulauskas 10 6 5 6 10 6 2 5 1 9 7 2 8 4 3 10
Dominykas Žukauskas 2 1 9 1 4 8 4 4 6 3 1 6 2 8 7 9
Dominykas Norkus 8 1 3 7 9 8 9 1 9 5 2 9 4 6 7 3
Deividas Zelvys 4 4 4 10 6 7 8 4 4 4 7 3 9 7 9 1
Vilius Bagdonas 8 3 8 8 8 9 7 6 3 5 6 3 9 4 6 4
Arvydas Vaitkus 8 7 10 6 5 5 5 5 2 1 7 5 4 5 7 10
Giedrius Vaitkus 6 6 10 5 1 3 6 3 2 9 6 5 6 1 2 4
Deividas Urbonas 4 8 5 3 6 8 1 4 4 9 10 1 9 5 3 10
Arvydas Urbonas 8 10 3 6 3 2 4 7 5 7 10 2 2 9 1 4
Antanas Kazlauskas 6 5 2 1 4 3 4 7 7 9 3 5 5 3 10 4
Laurynas Matulis 1 1 9 10 1 8 5 5 2 5 3 2 10 3 3 7
Šarūnas Petrauskas 8 6 3 4 6 9 2 3 4 4 5 1 7 7 7 1
Laurynas Šimkus 9 2 7 4 2 6 6 2 4 2 5 9 8 1 7 10
Arnas Rutkauskas 6 3 4 6 3 5 4 1 9 5 5 4 7 5 1 4
Arnas Stankevičius 9 4 5 5 10 2 10 3 9 5 2 10 10 3 4 6
Mindaugas Žukauskas 2 7 7 5 10 9 3 10 2 3 9 8 10 10 10 7
Karolis Morkūnas 2 9 9 1 6 3 9 5 8 1 9 5 10 2 10 1
Dominykas Rutkauskas 1 10 3 2 2 5 4 7 9 6 6 8 7 3 1 5
Vilius Pocius 10 1 8 6 6 10 1 8 3 8 4 5 1 4 8 3
Rokas Petrauskas 1 8 2 10 10 5 9 7 3 1 3 2 10 5 9 8
Deividas Kundrotas 6 10 7 10 1 5 8 9 5 3 1 8 10 8 2 4
Rokas Balsys 5 6 7 10 7 2 2 6 3 2 9 7 2 9 6 6
Šarūnas Matulis 10 9 7 8 4 2 9 4 6 1 9 10 9 8 9 7
Laurynas Bagdonas 1 7 10 6 8 1 7 8 7 2 7 9 5 8 6 5
Karolis Butkus 1 3 3 7 8 3 3 2 5 5 1 1 1 4 8 7
Aurimas Petraitis 9 3 6 1 2 6 8 8 3 2 3 2 7 9 6 8
Giedrius Vaičiūnas 10 2 3 9 7 2 4 3 10 9 2 10 3 9 4 1
Karolis Paulauskas 4 10 1 8 3 3 1 4 7 9 9 4 7 6 5 4
Tomas Rutkauskas 9 6 10 10 9 5 10 4 4 2 8 3 6 7 8 10
Aurimas Dapkus 2 8 7 4 6 6 5 1 5 10 1 9 8 3 7 8
Ernestas Stankevičius 3 3 7 10 9 10 5 9 1 3 1 9 7 5 8 2
Ernestas Matulis 5 5 3 2 2 4 5 5 1 6 3 5 1 7 6 5
Eimantas Norkus 9 3 10 4 9 1 10 4 6 3 8 3 3 7 10 3
Antanas Balsys 1 5 8 9 1 10 2 2 10 8 2 9 6 8 1 4
Aurimas Sakalauskas 4 10 8 5 3 2 6 6 8 5 2 4 4 4 2 4
Eimantas Jankauskas 8 4 10 1 3 4 8 8 10 1 1 1 2 8 1 8
Andrius Dapkus 4 1 4 6 4 8 10 9 3 9 2 5 3 6 6 3
Deividas Jankauskas 4 3 9 6 1 4 10 5 5 5 6 5 6 7 7 1
Arnas Butkus 1 3 9 9 2 9 4 3 9 8 10 3 10 4 7 3
Gabrielius Misevičius 2 1 8 2 9 8 3 7 2 5 6 6 10 3 10 1
Edgaras Vaitkus 3 8 3 7 2 3 6 1 7 7 10 7 6 7 7 9
Dominykas Sakalauskas 7 9 4 1 10 9 1 5 8 7 1 3 3 1 1 10
Mindaugas Balsys 6 2 10 1 7 3 8 10 3 5 9 7 6 6 9 9
Edgaras Vaičiūnas 5 3 9 2 1 7 5 1 6 7 3 1 5 7 1 9
Vilius Kundrotas 2 4 2 10 4 2 2 7 8 8 9 7 7 6 10 3
Dovydas Urbonas 2 6 8 10 6 1 1 9 5 6 8 6 10 2 3 9
Justinas Kazlauskas 2 6 6 4 2 3 8 2 1 2 5 1 1 8 10 9
Saulius Sabonis 3 4 8 4 2 9 3 1 1 1 9 5 4 6 10 5
Tomas Urbonas 5 1 10 2 2 1 10 1 3 5 1 6 1 9 5 6
Karolis Dapkus 4 10 2 6 10 1 4 6 4 2 3 1 3 5 5 8
Paulius Sakalauskas 8 7 4 5 7 4 2 10 5 7 10 5 1 7 6 2
Vytautas Kundrotas 8 8 5 9 2 8 4 10 6 9 8 3 9 5 5 4
Vilius Kairys 1 6 2 1 9 4 4 10 4 1 3 3 1 8 10 7
Rokas Navickas 7 9 5 4 10 4 10 1 4 5 8 3 5 9 6 10
Edgaras Morkūnas 8 7 4 10 1 4 4 2 9 6 10 7 9 1 6 1
Rokas Bagdonas 9 1 5 6 7 3 1 5 1 8 9 4 10 10 7 4
Antanas Žukauskas 8 1 5 5 8 1 2 10 10 6 6 9 7 1 3 3
Mantas Urbonas 3 1 4 5 7 1 7 1 5 2 8 7 2 6 2 9
Laurynas Zelvys 6 5 3 6 1 8 4 10 1 10 1 4 4 9 10 4
Ignas Petraitis 10 9 7 10 3 10 4 1 5 7 8 10 2 5 2 5
Deividas Rutkauskas 3 5 6 1 2 6 7 7 3 9 4 3 2 9 8 8
Gabrielius Juodka 4 6 10 2 1 2 1 3 8 3 4 9 8 8 9 9
Dominykas Balsys 10 5 5 3 1 8 1 8 5 7 8 4 7 7 6 5
Edgaras Pocius 7 1 10 10 4 7 5 5 2 2 5 4 3 1 4 4
Jonas Pocius 10 10 4 4 7 3 2 4 9 10 4 4 5 6 5 9
Mantas Paulauskas 5 1 7 5 2 4 9 8 4 7 5 4 7 7 4 2
Ernestas Jankauskas 4 5 4 4 10 3 9 2 10 9 4 8 7 3 9 1
Šarūnas Rutkauskas 8 8 7 7 9 9 3 10 6 7 8 10 8 3 5 1
Rokas Vaitkus 5 2 10 8 3 1 10 7 2 1 9 6 6 2 7 10
Lukas Sabonis 4 7 3 9 1 7 6 7 7 8 9 1 1 10 7 1
Mantas Misevičius 5 6 7 6 9 5 9 3 8 6 9 10 2 9 8 5
Mantas Pocius 10 3 4 8 6 3 7 5 10 5 3 1 4 2 5 4
Dovydas Vaičiūnas 3 9 10 1 1 7 5 10 6 3 7 6 7 3 1 2
Simonas Šimkus 2 4 8 9 8 9 7 4 3 9 9 4 1 1 7 8
Gabrielius Norkus 7 10 10 6 3 4 7 9 5 7 4 10 9 10 5 5
Deividas Misevičius 9 6 8 7 6 4 1 7 10 3 5 5 8 9 6 1
Tomas Sakalauskas 9 10 1 2 1 3 3 1 7 1 7 5 9 3 5 6
Giedrius Juodka 9 10 6 5 1 9 3 4 5 6 1 8 9 10 5 8
Aurimas Zelvys 1 5 4 8 8 5 2 1 5 2 4 9 6 10 9 3
Tomas Kundrotas 10 4 6 2 2 1 2 6 6 9 9 1 4 5 9 5
Ignas Balčiūnas 9 9 3 6 9 5 2 6 3 6 2 9 2 4 9 3
Laurynas Vaičiūnas 5 6 9 10 3 9 10 3 7 2 10 5 9 7 6 7
Aurimas Šimkus 9 4 1 4 4 7 2 3 10 8 9 2 8 10 5 1
Andrius Petraitis 3 6 6 10 1 6 6 6 9 7 10 3 2 5 9 8
Tomas Bagdonas 2 2 10 6 7 7 2 2 10 7 4 8 2 3 4 7
Mindaugas Stankevičius 2 1 9 3 5 2 7 6 4 8 7 9 3 2 9 8
Paulius Jasinskas 6 7 2 3 3 8 6 1 6 9 1 9 2 9 6 4
Vytautas Matulis 6 7 5 10 7 10 10 2 2 6 6 9 4 4 8 4
Arnas Balsys 9 6 4 8 9 4 2 10 6 8 9 10 2 7 2 10
Antanas Kazlauskas 2 3 8 10 8 7 9 1 10 3 8 4 5 6 9 3
Martynas Zelvys 8 5 6 8 5 8 7 7 2 6 2 8 8 6 7 3
Vytautas Jankauskas 3 3 7 1 9 2 8 4 10 3 4 7 3 6 1 1
Ernestas Navickas 4 3 6 2 10 10 1 7 6 3 7 4 10 3 2 5
Giedrius Kairys 8 9 10 3 2 4 9 10 6 3 4 2 5 8 8 9
Paulius Butkus 6 5 10 6 1 8 4 1 3 2 3 8 9 1 3 3
Dovydas Bagdonas 3 7 4 9 4 8 1 5 6 4 2 7 7 1 3 2
Arvydas Kazlauskas 10 5 4 10 7 2 3 10 6 9 10 8 8 6 10 4
Mantas Sakalauskas 4 4 3 1 7 10 1 6 8 10 8 6 7 10 7 5
Simonas Dapkus 1 10 9 8 2 7 9 10 1 6 3 1 3 1 1 7
Ernestas Kairys 5 5 4 8 10 7 8 6 2 6 3 9 4 5 3 7
Vytautas Jasinskas 4 4 5 2 3 9 6 4 7 3 4 2 3 1 2 2
Tomas Kairys 1 1 3 2 6 4 5 8 4 4 5 2 8 7 3 1
Simonas Sabonis 5 8 3 6 7 5 7 8 3 2 7 4 8 8 4 9
Ignas Vaičiūnas 7 3 2 3 1 10 7 4 5 2 6 2 6 4 6 2
Giedrius Rutkauskas 6 4 9 1 10 10 10 10 2 3 10 6 1 8 2 10
Simonas Petraitis 10 9 4 5 2 10 10 4 2 10 3 6 2 1 1 7
Aurimas Matulis 6 6 7 3 5 10 6 4 4 5 9 7 9 8 4 8
Tomas Stankevičius 3 10 1 1 6 6 7 10 9 3 3 4 8 1 7 2
Andrius Pocius 4 5 9 1 5 3 1 7 3 3 7 9 6 7 8 3
Ernestas Žukauskas 3 10 10 8 5 8 6 1 6 8 4 6 6 9 6 4
Martynas Jasinskas 4 8 1 8 6 3 9 1 2 9 9 8 10 1 1 10
Aurimas Vaičiūnas 6 9 7 2 9 4 4 9 3 9 4 10 1 6 7 9
Arnas Norkus 5 5 9 2 10 7 8 3 3 10 10 7 9 3 8 8
Laurynas Petraitis 3 5 7 8 1 10 2 6 10 4 6 3 5 5 5 10
Vytautas Paulauskas 4 1 3 4 8 10 1 9 1 8 3 2 10 10 6 4
Šarūnas Pocius 10 1 10 9 5 5 5 7 2 4 5 9 7 1 5 3
Aurimas Pocius 4 4 10 8 10 4 5 7 4 2 4 3 6 10 8 2
Edgaras Sabonis 4 10 7 2 3 10 9 4 7 6 3 5 5 5 7 2
Giedrius Navickas 2 2 10 8 5 10 6 9 6 6 8 8 5 5 9 10
Dominykas Jankauskas 1 6 9 6 6 2 6 6 3 6 10 3 6 3 10 5
Saulius Sabonis 1 2 1 8 7 3 1 2 4 9 1 6 5 2 5 2
Andrius Norkus 2 4 5 5 6 4 4 8 6 9 6 3 8 3 7 8
Dovydas Navickas 1 8 3 2 6 10 1 4 6 6 8 1 3 4 4 4
Rokas Misevičius 6 9 10 6 5 3 6 1 10 10 10 4 5 2 5 7
Arnas Sabonis 7 7 3 6 7 9 7 9 8 6 9 10 1 9 1 8
Mindaugas Morkūnas 10 8 7 7 2 7 9 7 2 9 8 9 9 5 2 8
Arnas Vaitkus 9 4 2 4 3 8 5 10 3 3 3 9 7 2 9 10
Vilius Vaitkus 7 5 5 6 7 2 1 4 6 5 3 1 1 8 1 5
Giedrius Navickas 6 9 10 9 1 8 4 9 7 7 4 1 5 8 7 5
Andrius Juodka 7 4 4 3 8 2 3 8 1 3 2 5 5 7 7 8
Ernestas Rutkauskas 1 9 5 6 7 9 5 2 2 9 7 6 8 6 4 3
Antanas Pocius 4 7 6 4 3 8 7 6 5 3 9 10 7 8 4 2
Giedrius Balčiūnas 8 9 10 4 10 2 9 5 1 1 3 2 5 1 10 5
Mindaugas Kundrotas 7 1 10 8 3 4 1 2 4 2 4 10 3 7 1 4
Ernestas Kazlauskas 3 3 2 6 3 3 1 7 1 1 8 7 7 5 5 2
Justinas Sakalauskas 4 9 5 7 4 10 10 1 4 3 10 10 3 6 1 5
Justinas Kairys 10 3 8 4 2 3 3 9 6 2 6 7 6 6 2 1
Ignas Morkūnas 6 7 5 9 2 10 1 2 10 1 2 5 9 6 4 9
Giedrius Balčiūnas 1 2 3 2 5 4 1 4 3 5 1 3 10 1 5 5
Deividas Paulauskas 9 9 2 10 8 5 10 7 8 9 5 7 9 8 5 1
Martynas Rutkauskas 10 10 3 6 5 7 4 5 5 2 1 10 4 8 3 6
Mantas Matulis 3 2 7 3 8 5 1 5 7 8 6 7 4 7 7 10
Justinas Petrauskas 10 7 9 4 4 4 10 3 1 5 5 1 7 6 6 5
Edgaras Jasinskas 4 2 3 3 3 9 7 10 4 5 1 2 9 4 4 2
Simonas Pocius 1 8 5 8 4 1 6 10 9 2 8 8 3 1 4 7
Mindaugas Bagdonas 5 1 10 5 4 6 10 5 9 1 5 7 7 7 8 1
Paulius Paulauskas 1 8 6 1 8 6 8 1 2 6 6 2 10 8 10 9
Ernestas Balsys 2 5 4 7 1 3 3 3 5 8 3 7 6 6 10 7
Mantas Sakalauskas 7 4 4 2 3 8 6 4 2 4 10 3 9 8 7 1
Edgaras Jankauskas 2 6 9 1 4 5 3 5 8 10 10 2 4 6 5 2
Antanas Sabonis 3 9 2 6 10 4 5 7 5 1 7 10 5 1 5 2
Mantas Jankauskas 7 10 5 9 6 10 1 2 3 10 9 2 5 7 9 8
Eimantas Urbonas 9 10 10 10 8 3 1 8 9 8 8 8 7 7 2 2
Dovydas Kundrotas 5 2 8 7 5 2 2 8 10 8 10 5 6 7 9 9
Laurynas Paulauskas 7 5 7 7 6 1 1 8 5 5 6 1 8 4 6 8
Aurimas Kundrotas 5 8 10 6 2 6 2 10 1 9 10 8 7 3 3 6
Edgaras Norkus 4 1 7 7 5 6 4 3 4 5 5 1 9 8 6 8
Saulius Kundrotas 10 8 1 1 2 2 1 9 5 4 8 3 4 1 1 2
Eimantas Šimkus 8 7 8 5 8 3 9 9 4 10 7 4 7 8 10 1
Aurimas Juodka 2 9 10 5 5 1 3 3 8 8 6 2 5 7 1 7
Karolis Žukauskas 10 1 3 5 5 2 3 1 5 9 6 6 9 9 4 2
Laurynas Butkus 3 3 1 6 9 1 3 4 8 8 1 5 10 1 4 9
Arvydas Navickas 5 2 6 2 10 10 3 9 4 2 3 8 3 10 2 5
Rokas Zelvys 1 10 6 1 1 1 2 4 7 7 1 8 2 2 10 3
Jonas Vaičiūnas 2 10 2 1 4 2 7 10 6 8 3 1 6 7 9 4
Dominykas Dapkus 4 2 10 2 3 4 3 2 6 2 8 4 9 5 5 1
Laurynas Balsys 8 7 3 7 1 4 1 3 5 1 3 7 3 2 5 10
Antanas Jankauskas 10 8 6 1 4 9 5 6 4 6 6 7 4 4 3 6
Jonas Šimkus 4 2 10 5 3 3 2 8 7 8 8 10 3 10 8 3
Lukas Kairys 10 4 7 2 6 3 4 2 4 6 3 9 10 8 3 2
Arvydas Žukauskas 3 9 2 6 5 10 10 1 6 7 10 6 10 1 7 6
Karolis Jankauskas 5 5 6 10 2 4 3 4 3 10 1 7 4 8 7 7
Vilius Žukauskas 9 1 4 3 5 3 9 7 4 1 1 6 8 7 9 9
Martynas Pocius 7 1 9 3 9 3 1 6 1 4 4 3 9 8 8 2
Aurimas Dapkus 10 6 3 1 6 10 9 2 5 3 1 7 2 6 1 10
Eimantas Kairys 1 2 2 3 6 2 1 1 7 10 3 4 8 6 9 4
Ignas Bagdonas 6 6 4 4 10 5 6 10 1 5 10 6 2 4 4 1
Vytautas Navickas 8 5 10 5 8 3 1 6 8 5 8 2 5 6 10 4
Andrius Matulis 6 1 10 7 7 1 2 10 4 9 5 9 7 7 4 6
Dovydas Žukauskas 7 5 8 9 8 8 2 1 2 2 5 1 2 4 1 10
Karolis Zelvys 5 2 7 2 6 3 1 9 10 8 2 5 2 5 3 2
Rokas Rutkauskas 1 5 2 6 5 7 5 5 10 9 8 1 7 4 8 6
Šarūnas Navickas 3 1 5 2 2 8 5 4 6 1 7 10 1 7 1 7
Lukas Butkus 5 7 6 9 8 1 8 7 3 7 8 10 4 6 9 2
Gabrielius Paulauskas 5 5 6 7 10 7 7 9 8 9 1 6 9 7 3 3
Jonas Šimkus 8 8 1 1 8 3 8 1 2 2 4 2 6 4 9 1
Justinas Kundrotas 7 3 3 9 1 3 10 8 6 7 10 6 5 8 3 1
Andrius Butkus 1 5 10 8 8 6 6 3 7 3 9 6 9 5 7 7
Antanas Navickas 1 9 6 2 1 1 5 4 6 1 1 2 7 3 1 5
Arvydas Juodka 2 10 2 5 1 7 10 1 1 9 10 9 1 7 9 7
Arvydas Vaitkus 4 9 9 5 2 1 8 3 5 4 6 4 9 5 7 1
Mindaugas Zelvys 6 2 8 7 1 3 10 6 5 10 5 3 8 3 3 9
Arnas Jasinskas 1 3 2 10 5 2 3 8 2 4 8 4 9 4 5 2
